MD,INC,AZI,TVD,SSTVD,N/S,NORTHING,E/W,EASTING,VSEC,DLS
6125,26,112.81,6098.44,-650.79,-114.32,13987651.64,173.42,1098080.5,199.11,2.76
6150,26.44,112.75,6120.87,-673.22,-118.6,13987647.36,183.6,1098090.69,210.09,1.76
6175,26.83,112.51,6143.21,-695.56,-122.91,13987643.05,193.95,1098101.03,221.25,1.62
6200,27.64,112.69,6165.44,-717.79,-127.31,13987638.66,204.51,1098111.59,232.63,3.26
6225,28.43,112.24,6187.51,-739.86,-131.8,13987634.17,215.37,1098122.45,244.32,3.27
6250,29.28,112.36,6209.4,-761.75,-136.37,13987629.59,226.53,1098133.61,256.33,3.41
6275,30.5,112.61,6231.08,-783.43,-141.14,13987624.82,238.04,1098145.13,268.73,4.91
6300,31.74,112.75,6252.48,-804.83,-146.12,13987619.84,249.96,1098157.05,281.58,4.97
6325,33.33,112.67,6273.56,-825.91,-151.31,13987614.65,262.36,1098169.45,294.96,6.36
6350,34.45,112.7,6294.31,-846.66,-156.69,13987609.27,275.22,1098182.31,308.83,4.48
6375,35.95,112.89,6314.74,-867.09,-162.27,13987603.69,288.51,1098195.6,323.16,6.02
6400,37.34,113.25,6334.79,-887.14,-168.12,13987597.84,302.24,1098209.32,337.99,5.63
6425,38.33,113.65,6354.54,-906.89,-174.22,13987591.74,316.3,1098223.39,353.23,4.08
6450,39.22,114.66,6374.03,-926.38,-180.63,13987585.33,330.59,1098237.68,368.75,4.37
6475,40.08,115.86,6393.28,-945.63,-187.44,13987578.52,345.01,1098252.1,384.53,4.61
6500,41.96,116.75,6412.14,-964.49,-194.71,13987571.25,359.72,1098266.81,400.72,7.87
6525,43.71,117.49,6430.47,-982.82,-202.46,13987563.5,374.85,1098281.93,417.44,7.28
6550,44.97,117.96,6448.35,-1000.7,-210.59,13987555.37,390.31,1098297.4,434.6,5.21
6575,45.99,117.69,6465.88,-1018.23,-218.91,13987547.05,406.08,1098313.16,452.1,4.15
6600,47.03,117.17,6483.09,-1035.44,-227.26,13987538.7,422.18,1098329.26,469.93,4.43
6625,47.18,116.36,6500.1,-1052.45,-235.51,13987530.45,438.53,1098345.62,487.97,2.45
6650,46.87,114.8,6517.14,-1069.49,-243.41,13987522.55,455.03,1098362.11,506.05,4.73
6675,46.72,113.29,6534.26,-1086.61,-250.83,13987515.13,471.67,1098378.75,524.12,4.44
6700,47.29,112.19,6551.31,-1103.66,-257.9,13987508.06,488.53,1098395.62,542.31,3.94
6725,48.37,111.94,6568.09,-1120.44,-264.86,13987501.1,505.7,1098412.79,560.76,4.38
6750,49.8,112,6584.47,-1136.82,-271.93,13987494.03,523.22,1098430.31,579.58,5.72
6775,52.04,111.64,6600.22,-1152.57,-279.14,13987486.82,541.24,1098448.32,598.91,9.03
6800,54.52,109.48,6615.17,-1167.52,-286.17,13987479.79,560,1098467.09,618.91,12.1
