channel_GES,east,north,depth,latitude,longitude,elevation,utm_easting,utm_northing,utm_depth
187,276.3341,-66.13,6257.2034,38.50385555181154,-112.8954194908156,-257.1706963200004,334725.41307595896,4263423.536582259,257.1706963200004
188,281.6166,-68.3452,6265.4622,38.50384976901895,-112.89540087553878,-259.68797856000015,334727.02318195964,4263422.861389299,259.68797856000015
189,286.9597,-70.5886,6273.6759,38.503843912231005,-112.89538204651275,-262.19151432000035,334728.65175883984,4263422.177600978,262.19151432000035
190,292.3315,-72.8496,6281.8648,38.503838008744424,-112.89536311595174,-264.6874910400004,334730.28908347874,4263421.488448179,264.6874910400004
191,297.8515,-75.2015,6289.9257,38.50383186408114,-112.89534366107469,-267.14445336000017,334731.9715794787,4263420.771589058,267.14445336000017
192,303.3715,-77.5534,6297.9866,38.503825719414536,-112.89532420620085,-269.6014156800002,334733.6540754789,4263420.054729939,269.6014156800002
193,308.981,-79.9732,6305.9661,38.50381939339478,-112.89530443375092,-272.03356728000017,334735.3638510796,4263419.317174899,272.03356728000017
194,314.6337,-82.4256,6313.9064,38.503812980315246,-112.89528450802726,-274.4537707200002,334737.0867940386,4263418.569683379,274.4537707200002
195,320.3038,-84.9015,6321.8271,38.50380650369969,-112.89526451982407,-276.86800008000023,334738.81504051934,4263417.815029059,276.86800008000023
196,326.0489,-87.4785,6329.6628,38.50379975376364,-112.89524426231533,-279.2563214400002,334740.56614699867,4263417.02955946,279.2563214400002
197,331.7941,-90.0556,6337.4986,38.503793003555074,-112.89522400445367,-281.64467328000023,334742.3172839597,4263416.244059379,281.64467328000023
198,337.5758,-92.7453,6345.2668,38.50378594627639,-112.89520361096908,-284.0124206400003,334744.0795461199,4263415.424238819,284.0124206400003
199,343.3732,-95.4832,6353.006,38.50377875755423,-112.89518315916717,-286.37132880000036,334745.8465936396,4263414.589726901,286.37132880000036
200,349.1955,-98.2604,6360.7119,38.5037714623428,-112.89516261754603,-288.72008712000024,334747.6212306798,4263413.74323634,288.72008712000024
201,355.1095,-101.1833,6368.2944,38.5037637723105,-112.89514174506466,-291.03123312000025,334749.42381787894,4263412.85233642,291.03123312000025
202,361.0235,-104.1061,6375.8769,38.50375608254889,-112.8951208725948,-293.34237912000026,334751.2264050796,4263411.961466979,293.34237912000026
203,367.06,-107.169,6383.3047,38.503748015082174,-112.89509956206045,-295.6063725600002,334753.066330279,4263411.027895059,295.6063725600002
204,373.1429,-110.2848,6390.6741,38.5037398050044,-112.89507808561304,-297.8525656800002,334754.92039819947,4263410.07819922,297.8525656800002
205,379.2574,-113.437,6398.0004,38.50373149677742,-112.8950564961479,-300.0856219200002,334756.7840977988,4263409.117408659,300.0856219200002
206,385.4729,-116.7056,6405.1889,38.50372287469466,-112.89503454544074,-302.2766767200003,334758.67858219973,4263408.121139378,302.2766767200003
207,391.6884,-119.9742,6412.3774,38.50371425260766,-112.8950125947387,-304.46773152000037,334760.57306659804,4263407.124870099,304.46773152000037
208,397.9976,-123.3001,6419.4602,38.50370547850429,-112.89499031255279,-306.62656896000044,334762.4961107593,4263406.111135778,306.62656896000044
209,404.3377,-126.6451,6426.5079,38.50369665370698,-112.89496792104045,-308.7747079200001,334764.4285732394,4263405.091579779,308.7747079200001
210,410.7129,-129.9932,6433.5218,38.5036878223794,-112.8949454066794,-310.9125446400003,334766.3717341993,4263404.0710789,310.9125446400003
211,417.1857,-133.3503,6440.4409,38.50367897185787,-112.89492255068511,-313.0214863200001,334768.34464363963,4263403.047834818,313.0214863200001
212,423.6586,-136.7073,6447.36,38.50367012161194,-112.89489969435411,-315.13042800000017,334770.3175835598,4263402.024621218,315.13042800000017
213,430.2094,-140.0331,6454.2167,38.50366136142254,-112.89487656810995,-317.2203501600002,334772.3142673983,4263401.0109173795,317.2203501600002
214,436.7828,-143.35,6461.0554,38.50365262694031,-112.89485336355273,-319.3047859200003,334774.3178397197,4263399.99992626,319.3047859200003
215,443.3736,-146.6261,6467.8976,38.5036440054491,-112.89483010114552,-321.3902884800002,334776.3267155596,4263399.001370979,321.3902884800002
216,450.0072,-149.8022,6474.7483,38.50363566091219,-112.89480669640668,-323.47838184000034,334778.3486368395,4263398.033295699,323.47838184000034
217,456.6409,-152.9783,6481.5991,38.503627316376125,-112.89478329132372,-325.5665056800003,334780.3705885993,4263397.065220419,325.5665056800003
218,463.3197,-155.9998,6488.4756,38.50361939882259,-112.89475973980198,-327.66246288000025,334782.40628683905,4263396.144267219,327.66246288000025
219,470.0096,-158.9829,6495.3586,38.50361158731477,-112.89473615226763,-329.76040128,334784.44536835875,4263395.235018338,329.76040128
220,476.7274,-161.9218,6502.2326,38.50360389872582,-112.89471247044278,-331.85559648000026,334786.4929537996,4263394.339241619,331.85559648000026
